Entity,Code,Year,Energy type,Consumption (TWh)
World,OWID_WRL,1990,"Other renewables (TWh, substituted energy)",361.2137
World,OWID_WRL,1991,"Other renewables (TWh, substituted energy)",376.84134
World,OWID_WRL,1992,"Other renewables (TWh, substituted energy)",404.81308
World,OWID_WRL,1993,"Other renewables (TWh, substituted energy)",418.26727
World,OWID_WRL,1994,"Other renewables (TWh, substituted energy)",434.6814
World,OWID_WRL,1995,"Other renewables (TWh, substituted energy)",454.28992
World,OWID_WRL,1996,"Other renewables (TWh, substituted energy)",466.36444
World,OWID_WRL,1997,"Other renewables (TWh, substituted energy)",499.9769
World,OWID_WRL,1998,"Other renewables (TWh, substituted energy)",520.5851
World,OWID_WRL,1999,"Other renewables (TWh, substituted energy)",546.1845
World,OWID_WRL,2000,"Other renewables (TWh, substituted energy)",571.59485
World,OWID_WRL,2001,"Other renewables (TWh, substituted energy)",593.6476
World,OWID_WRL,2002,"Other renewables (TWh, substituted energy)",639.16516
World,OWID_WRL,2003,"Other renewables (TWh, substituted energy)",674.7164
World,OWID_WRL,2004,"Other renewables (TWh, substituted energy)",729.3295
World,OWID_WRL,2005,"Other renewables (TWh, substituted energy)",790.01874
World,OWID_WRL,2006,"Other renewables (TWh, substituted energy)",841.3214
World,OWID_WRL,2007,"Other renewables (TWh, substituted energy)",913.18494
World,OWID_WRL,2008,"Other renewables (TWh, substituted energy)",976.65955
World,OWID_WRL,2009,"Other renewables (TWh, substituted energy)",1049.248
World,OWID_WRL,2010,"Other renewables (TWh, substituted energy)",1175.8253
World,OWID_WRL,2011,"Other renewables (TWh, substituted energy)",1235.6885
World,OWID_WRL,2012,"Other renewables (TWh, substituted energy)",1340.7991
World,OWID_WRL,2013,"Other renewables (TWh, substituted energy)",1447.8152
World,OWID_WRL,2014,"Other renewables (TWh, substituted energy)",1569.6025
World,OWID_WRL,2015,"Other renewables (TWh, substituted energy)",1696.5197
World,OWID_WRL,2016,"Other renewables (TWh, substituted energy)",1720.5377
World,OWID_WRL,2017,"Other renewables (TWh, substituted energy)",1817.4558
World,OWID_WRL,2018,"Other renewables (TWh, substituted energy)",1964.74
World,OWID_WRL,2019,"Other renewables (TWh, substituted energy)",2063.5725
World,OWID_WRL,2020,"Other renewables (TWh, substituted energy)",2181.6753
World,OWID_WRL,2021,"Other renewables (TWh, substituted energy)",2351.194
World,OWID_WRL,2022,"Other renewables (TWh, substituted energy)",2414.3037
World,OWID_WRL,2023,"Other renewables (TWh, substituted energy)",2427.8613
World,OWID_WRL,1990,"Biofuels (TWh, substituted energy)",106.56911
World,OWID_WRL,1991,"Biofuels (TWh, substituted energy)",110.64682
World,OWID_WRL,1992,"Biofuels (TWh, substituted energy)",108.705635
World,OWID_WRL,1993,"Biofuels (TWh, substituted energy)",114.34005
World,OWID_WRL,1994,"Biofuels (TWh, substituted energy)",124.101776
World,OWID_WRL,1995,"Biofuels (TWh, substituted energy)",131.0704
World,OWID_WRL,1996,"Biofuels (TWh, substituted energy)",125.784515
World,OWID_WRL,1997,"Biofuels (TWh, substituted energy)",130.03065
World,OWID_WRL,1998,"Biofuels (TWh, substituted energy)",133.38396
World,OWID_WRL,1999,"Biofuels (TWh, substituted energy)",135.24736
World,OWID_WRL,2000,"Biofuels (TWh, substituted energy)",132.50879
World,OWID_WRL,2001,"Biofuels (TWh, substituted energy)",131.42497
World,OWID_WRL,2002,"Biofuels (TWh, substituted energy)",149.31444
World,OWID_WRL,2003,"Biofuels (TWh, substituted energy)",168.93098
World,OWID_WRL,2004,"Biofuels (TWh, substituted energy)",201.0801
World,OWID_WRL,2005,"Biofuels (TWh, substituted energy)",234.50827
World,OWID_WRL,2006,"Biofuels (TWh, substituted energy)",294.60794
World,OWID_WRL,2007,"Biofuels (TWh, substituted energy)",391.5707
World,OWID_WRL,2008,"Biofuels (TWh, substituted energy)",535.71674
World,OWID_WRL,2009,"Biofuels (TWh, substituted energy)",611.32715
World,OWID_WRL,2010,"Biofuels (TWh, substituted energy)",692.14124
World,OWID_WRL,2011,"Biofuels (TWh, substituted energy)",728.7748
World,OWID_WRL,2012,"Biofuels (TWh, substituted energy)",757.5906
World,OWID_WRL,2013,"Biofuels (TWh, substituted energy)",820.7763
World,OWID_WRL,2014,"Biofuels (TWh, substituted energy)",866.74524
World,OWID_WRL,2015,"Biofuels (TWh, substituted energy)",900.52325
World,OWID_WRL,2016,"Biofuels (TWh, substituted energy)",941.4909
World,OWID_WRL,2017,"Biofuels (TWh, substituted energy)",960.00476
World,OWID_WRL,2018,"Biofuels (TWh, substituted energy)",1039.946
World,OWID_WRL,2019,"Biofuels (TWh, substituted energy)",1119.6278
World,OWID_WRL,2020,"Biofuels (TWh, substituted energy)",1070.2726
World,OWID_WRL,2021,"Biofuels (TWh, substituted energy)",1131.0247
World,OWID_WRL,2022,"Biofuels (TWh, substituted energy)",1193.2262
World,OWID_WRL,2023,"Biofuels (TWh, substituted energy)",1317.6246
World,OWID_WRL,1990,"Solar (TWh, substituted energy)",1.1483465
World,OWID_WRL,1991,"Solar (TWh, substituted energy)",1.4942344
World,OWID_WRL,1992,"Solar (TWh, substituted energy)",1.379965
World,OWID_WRL,1993,"Solar (TWh, substituted energy)",1.6460894
World,OWID_WRL,1994,"Solar (TWh, substituted energy)",1.7652723
World,OWID_WRL,1995,"Solar (TWh, substituted energy)",1.8891695
World,OWID_WRL,1996,"Solar (TWh, substituted energy)",2.0676155
World,OWID_WRL,1997,"Solar (TWh, substituted energy)",2.2167242
World,OWID_WRL,1998,"Solar (TWh, substituted energy)",2.4006376
World,OWID_WRL,1999,"Solar (TWh, substituted energy)",2.6769266
World,OWID_WRL,2000,"Solar (TWh, substituted energy)",3.1288824
World,OWID_WRL,2001,"Solar (TWh, substituted energy)",4.1780615
World,OWID_WRL,2002,"Solar (TWh, substituted energy)",5.2459383
World,OWID_WRL,2003,"Solar (TWh, substituted energy)",6.5339413
World,OWID_WRL,2004,"Solar (TWh, substituted energy)",8.554863
World,OWID_WRL,2005,"Solar (TWh, substituted energy)",11.978459
World,OWID_WRL,2006,"Solar (TWh, substituted energy)",16.379019
World,OWID_WRL,2007,"Solar (TWh, substituted energy)",22.07666
World,OWID_WRL,2008,"Solar (TWh, substituted energy)",35.639404
World,OWID_WRL,2009,"Solar (TWh, substituted energy)",58.8195
World,OWID_WRL,2010,"Solar (TWh, substituted energy)",94.092354
World,OWID_WRL,2011,"Solar (TWh, substituted energy)",181.25386
World,OWID_WRL,2012,"Solar (TWh, substituted energy)",278.34863
World,OWID_WRL,2013,"Solar (TWh, substituted energy)",377.7912
World,OWID_WRL,2014,"Solar (TWh, substituted energy)",534.4909
World,OWID_WRL,2015,"Solar (TWh, substituted energy)",689.4229
World,OWID_WRL,2016,"Solar (TWh, substituted energy)",879.1254
World,OWID_WRL,2017,"Solar (TWh, substituted energy)",1185.098
World,OWID_WRL,2018,"Solar (TWh, substituted energy)",1520.514
