Country Name,Country Code,Year,GDP($),Solar Capacity (GW),Wind Capacity (GWp),Electricity from solar (TWh),Electricity from solar (GWh),Electricity from wind (TWh),Electricity from wind (GWh),Solar (% electricity),Wind (% electricity),solar energy capacity factor,wind energy capacity factor
Argentina,ARG,1999,7705.54288252851,0.0,0.014,2.6e-05,0.026,0.034781,34.781,3.220024e-05,0.043075256,inf,28.360241356816694
Australia,AUS,1999,20712.6697805564,0.025,0.01,0.0406,40.599999999999994,0.043,43.0,0.019623056,0.020783037,18.538812785388124,49.086757990867575
Austria,AUT,1999,27078.7081612201,0.0037,0.042,0.0,0.0,0.05,50.0,0.0,0.083444595,0.0,13.589910850184822
Belgium,BEL,1999,25252.8019066564,0.0,0.011,0.0,0.0,0.01,10.0,0.0,0.011994722,,10.377750103777501
Brazil,BRA,1999,3493.57162513699,0.0,0.022,0.0,0.0,0.002,2.0,0.0,0.0005975032,,1.03777501037775
Bulgaria,BGR,1999,1659.71861105493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
Canada,CAN,1999,22315.2466731545,0.006,0.126,0.013263158,13.263158,0.162,162.0,0.002295563,0.028038664,25.234318873668187,14.677103718199607
Chile,CHL,1999,4933.55581516755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
China,CHN,1999,873.292336318005,0.01,0.262,0.017,17.0,0.4737374,473.7374,0.0013717421,0.038226206,19.406392694063925,20.641073233643557
Denmark,DNK,1999,33426.2381077405,0.0,1.738,0.0,0.0,3.03,3030.0,0.0,7.791206,,19.901634692687235
"Egypt, Arab Rep.",EGY,1999,1268.30949160496,0.0001,0.036,0.0,0.0,0.012,12.0,0.0,0.018256366,0.0,3.805175038051751
France,FRA,1999,24576.3152254528,0.009,0.025,0.0,0.0,0.04,40.0,0.0,0.0076741558,0.0,18.2648401826484
Germany,DEU,1999,26965.4922773722,0.07,4.4350000000000005,0.03,30.0,5.53,5530.0,0.0054294714,1.0008326,4.892367906066536,14.234014403895948
Greece,GRC,1999,12742.5404388143,0.0,0.1058,0.0,0.0,0.16,160.0,0.0,0.32395223,,17.263554047871835
India,IND,1999,441.927991436397,0.0,1.035,0.006060606,6.060606,1.446,1446.0,0.001107238,0.26417592,inf,15.9486466812256
Italy,ITA,1999,22049.9990620261,0.018,0.277,0.02,20.0,0.4,400.0,0.007733952,0.15467903,12.683916793505837,16.484512800224184
Japan,JPN,1999,36610.1683163197,0.209,0.068,0.218025,218.025,0.036363635,36.363634999999995,0.020203551,0.0033696804,11.908468244084682,6.104558655654041
