location,year,total_energy_supply
AUS,1960,14.09
AUS,1961,13.75
AUS,1962,12.93
AUS,1963,12.87
AUS,1964,12.02
AUS,1965,11.96
AUS,1966,10.76
AUS,1967,10.5
AUS,1968,9.9
AUS,1969,9.73
AUS,1970,8.47
AUS,1971,8.82
AUS,1972,8.69
AUS,1973,7.9
AUS,1974,8.17
AUS,1975,8.22
AUS,1976,8.11
AUS,1977,7.32
AUS,1978,7.35
AUS,1979,7.18
AUS,1980,6.82
AUS,1981,7.22
AUS,1982,7.07
AUS,1983,7.15
AUS,1984,6.79
AUS,1985,7.12
AUS,1986,6.38
AUS,1987,6.06
AUS,1988,6.19
AUS,1989,5.92
AUS,1990,5.87
AUS,1991,6.1
AUS,1992,5.45
AUS,1993,6.03
AUS,1994,5.92
AUS,1995,5.97
AUS,1996,6.19
AUS,1997,6.32
AUS,1998,5.95
AUS,1999,5.9
AUS,2000,5.88
AUS,2001,6.13
AUS,2002,6.17
AUS,2003,5.98
AUS,2004,5.79
AUS,2005,5.69
AUS,2006,5.63
AUS,2007,5.62
AUS,2008,5.57
AUS,2009,4.42
AUS,2010,5.5
AUS,2011,5.5
AUS,2012,5.55
AUS,2013,6.22
AUS,2014,6.53
AUS,2015,6.54
AUT,1960,16.06
AUT,1961,14.91
AUT,1962,14.11
AUT,1963,13.24
AUT,1964,12.65
AUT,1965,14.49
AUT,1966,15.47
AUT,1967,15.1
AUT,1968,14.06
AUT,1969,12.32
AUT,1970,13.59
AUT,1971,10.99
AUT,1972,10.53
AUT,1973,10.85
AUT,1974,12.57
AUT,1975,13.54
AUT,1976,11.27
AUT,1977,13.41
AUT,1978,13.48
AUT,1979,14.38
AUT,1980,15.58
AUT,1981,17.69
AUT,1982,18.81
AUT,1983,18.73
AUT,1984,18.41
AUT,1985,19.25
AUT,1986,20.36
AUT,1987,21.95
AUT,1988,25.64
AUT,1989,23.91
AUT,1990,20.25
AUT,1991,19.81
AUT,1992,21.57
AUT,1993,22.46
AUT,1994,21.85
AUT,1995,21.97
AUT,1996,20.49
AUT,1997,20.87
AUT,1998,20.66
AUT,1999,23.15
AUT,2000,22.98
AUT,2001,22.03
AUT,2002,21.25
AUT,2003,18.68
AUT,2004,19.7
AUT,2005,20.8
AUT,2006,21.91
AUT,2007,23.95
AUT,2008,25.14
AUT,2009,27.73
AUT,2010,27.1
AUT,2011,26.41
AUT,2012,29.86
AUT,2013,29.93
AUT,2014,30.44
AUT,2015,29.21
BEL,1960,0.06
BEL,1961,0.07
BEL,1962,0.05
BEL,1963,0.04
BEL,1964,0.03
BEL,1965,0.08
BEL,1966,0.09
BEL,1967,0.07
BEL,1968,0.06
BEL,1969,0.05
BEL,1970,0.05
BEL,1971,0.03
BEL,1972,0.04
BEL,1973,0.05
BEL,1974,0.08
BEL,1975,0.08
BEL,1976,0.06
BEL,1977,0.14
BEL,1978,0.18
BEL,1979,0.19
BEL,1980,0.17
BEL,1981,0.2
BEL,1982,0.09
BEL,1983,0.1
BEL,1984,0.1
BEL,1985,0.11
BEL,1986,0.17
BEL,1987,0.2
BEL,1988,0.21
BEL,1989,0.6
BEL,1990,1.0
BEL,1991,0.97
BEL,1992,0.95
BEL,1993,0.83
BEL,1994,0.77
BEL,1995,0.99
BEL,1996,0.94
BEL,1997,0.92
BEL,1998,1.0
BEL,1999,1.06
BEL,2000,1.1
BEL,2001,1.21
BEL,2002,1.28
BEL,2003,1.49
BEL,2004,1.66
BEL,2005,1.99
BEL,2006,2.36
BEL,2007,2.96
BEL,2008,3.44
BEL,2009,4.27
BEL,2010,4.64
BEL,2011,5.5
BEL,2012,6.22
BEL,2013,6.23
BEL,2014,6.36
BEL,2015,6.28
CAN,1960,17.39
CAN,1961,16.65
CAN,1962,15.81
CAN,1963,14.7
CAN,1964,14.63
CAN,1965,13.76
CAN,1966,14.39
CAN,1967,14.15
CAN,1968,14.01
CAN,1969,14.74
CAN,1970,15.29
CAN,1971,15.28
CAN,1972,15.23
CAN,1973,15.41
CAN,1974,15.98
CAN,1975,14.24
CAN,1976,14.39
CAN,1977,14.37
CAN,1978,14.99
CAN,1979,14.77
CAN,1980,15.24
CAN,1981,16.09
CAN,1982,16.3
CAN,1983,17.17
CAN,1984,17.27
CAN,1985,17.92
CAN,1986,18.12
CAN,1987,17.82
CAN,1988,16.74
CAN,1989,15.5
CAN,1990,17.19
CAN,1991,17.7
CAN,1992,17.66
CAN,1993,17.38
CAN,1994,17.66
CAN,1995,17.82
CAN,1996,17.9
CAN,1997,17.57
CAN,1998,17.28
CAN,1999,17.56
CAN,2000,17.58
CAN,2001,16.6
CAN,2002,17.61
CAN,2003,16.22
CAN,2004,16.37
CAN,2005,16.68
CAN,2006,16.38
CAN,2007,16.88
CAN,2008,16.77
CAN,2009,17.05
CAN,2010,16.45
CAN,2011,17.45
CAN,2012,17.82
CAN,2013,18.48
CAN,2014,17.91
CAN,2015,18.24
CZE,1960,
CZE,1961,
CZE,1962,
CZE,1963,
CZE,1964,
CZE,1965,
CZE,1966,
CZE,1967,
CZE,1968,
CZE,1969,
CZE,1970,
CZE,1971,0.23
CZE,1972,0.24
CZE,1973,0.21
CZE,1974,0.37
CZE,1975,0.36
CZE,1976,0.28
CZE,1977,0.35
CZE,1978,0.35
CZE,1979,0.41
CZE,1980,0.44
CZE,1981,0.38
CZE,1982,0.3
CZE,1983,0.3
CZE,1984,0.23
CZE,1985,0.29
CZE,1986,0.32
CZE,1987,0.41
CZE,1988,0.36
CZE,1989,0.29
CZE,1990,1.85
CZE,1991,1.66
CZE,1992,2.75
CZE,1993,2.89
CZE,1994,3.28
CZE,1995,2.89
CZE,1996,2.84
CZE,1997,3.02
CZE,1998,3.31
CZE,1999,3.67
CZE,2000,3.28
CZE,2001,3.53
CZE,2002,3.69
CZE,2003,3.45
CZE,2004,3.82
CZE,2005,3.97
CZE,2006,4.2
CZE,2007,4.65
CZE,2008,4.91
CZE,2009,5.76
CZE,2010,6.26
CZE,2011,6.99
CZE,2012,7.53
CZE,2013,8.52
CZE,2014,8.82
CZE,2015,8.77
DNK,1960,0.02
DNK,1961,0.02
DNK,1962,0.02
DNK,1963,0.02
DNK,1964,0.02
DNK,1965,0.02
DNK,1966,0.02
DNK,1967,0.01
DNK,1968,0.01
DNK,1969,0.01
DNK,1970,1.63
DNK,1971,1.78
DNK,1972,1.6
DNK,1973,1.62
DNK,1974,1.75
DNK,1975,1.84
DNK,1976,1.79
DNK,1977,1.75
DNK,1978,1.9
DNK,1979,2.28
DNK,1980,3.06
DNK,1981,4.07
